ID		PT-BR NAME			EN NAME
433		Mensagem pirata			Pirate message
434		Argila			Clay
436		Minério de cobre			Copper ore
438		Minério de estanho			Tin ore
440		Minério de ferro			Iron ore
442		Minério de prata			Silver ore
444		Minério de ouro			Gold ore
446		Minério de ouro "perfeito"			'Perfect' gold ore
447		Minério de mithril			Mithril ore
449		Minério de adamantio			Adamantite ore
451		Minério de runita			Runite ore
453		Carvão mineral			Coal
455		Cartão da Maratona			Barcrawl card
456		Jaula do escorpião			Scorpion cage
457		Jaula do escorpião			Scorpion cage
458		Jaula do escorpião			Scorpion cage
459		Jaula do escorpião			Scorpion cage
460		Jaula do escorpião			Scorpion cage
461		Jaula do escorpião			Scorpion cage
462		Jaula do escorpião			Scorpion cage
463		Jaula do escorpião			Scorpion cage
464		Fruta estranha			Strange fruit
466		Cabo da picareta			Pickaxe handle
468		Picareta quebrada			Broken pickaxe
470		Picareta quebrada			Broken pickaxe
472		Picareta quebrada			Broken pickaxe
474		Picareta quebrada			Broken pickaxe
476		Picareta quebrada			Broken pickaxe
478		Picareta quebrada			Broken pickaxe
480		Cabeça de picareta			Pickaxe head
482		Cabeça de picareta			Pickaxe head
484		Cabeça de picareta			Pickaxe head
486		Cabeça de picareta			Pickaxe head
488		Cabeça de picareta			Pickaxe head
490		Cabeça de picareta			Pickaxe head
492		Cabo do machado			Hatchet handle
494		Machado quebrado			Broken hatchet
496		Machado quebrado			Broken hatchet
498		Machado quebrado			Broken hatchet
500		Machado quebrado			Broken hatchet
502		Machado quebrado			Broken hatchet
504		Machado quebrado			Broken hatchet
506		Machado quebrado			Broken hatchet
508		Cabeça do machado			Hatchet head
510		Cabeça do machado			Hatchet head
512		Cabeça do machado			Hatchet head
514		Cabeça do machado			Hatchet head
516		Cabeça do machado			Hatchet head
518		Cabeça do machado			Hatchet head
520		Cabeça do machado			Hatchet head
522		Bife encantado			Enchanted beef
523		Carne de rato encantada			Enchanted rat meat
524		Carne de urso encantada			Enchanted bear meat
525		Galinha encantada			Enchanted chicken
526		Ossos			Bones
528		Ossos queimados			Burnt bones
530		Ossos de morcego			Bat bones
532		Ossões			Big bones
534		Ossos de filhote de dragão			Baby dragon bones
536		Ossos de dragão			Dragon bones
538		Túnica de druída			Druid's robe
540		Túnica de druída			Druid's robe
542		Túnica do monge			Monk's robe
544		Túnica do monge			Monk's robe
546		Túnica da sombra			Shade robe
547		Figura			Picture
548		Túnica da sombra			Shade robe
549		Figura			Picture
550		Mapa para recém-chegados			Newcomer map
552		Amuleto de fantasmês			Ghostspeak amulet
553		Crânio enlameado			Muddy skull
554		Runa do fogo			Fire rune
555		Runa da água			Water rune
556		Runa do ar			Air rune
557		Runa da terra			Earth rune
558		Runa da mente			Mind rune
559		Runa corporal			Body rune
560		Runa da morte			Death rune
561		Runa da natureza			Nature rune
562		Runa do caos			Chaos rune
563		Runa da lei			Law rune
564		Runa cósmica			Cosmic rune
565		Runa do sangue			Blood rune
566		Runa da alma			Soul rune
567		Orbe sem poder			Unpowered orb
569		Orbe de fogo			Fire orb
571		Orbe da água			Water orb
573		Orbe do ar			Air orb
575		Orbe da terra			Earth orb
577		Túnica do mago			Wizard robe top
579		Chapéu do mago			Wizard hat
581		Túnica de mago sombrio			Black wizard robe top
583		Balde de segurança			Bailing bucket
585		Balde de segurança			Bailing bucket
587		Orbe de proteção			Orb of protection
588		Orbes de proteção			Orbs of protection
589		Amuleto do gnomo			Gnome amulet
590		Caixa do fogo			Tinderbox
592		Cinzas			Ashes
594		Tocha acesa			Lit torch
595		Tocha			Torch
596		Tocha apagada			Unlit torch
598		Flechas de fogo de bronze			Bronze fire arrows
599		Picture			Picture
600		Livro de Astronomia			Astronomy book
601		Chave da cozinha do duende			Goblin kitchen key
602		Molde das lentes			Lens mould
603		Lentes do observatório			Observatory lens
604		Lasca de osso			Bone shard
605		Chave óssea			Bone key
606		Placa de pedra			Stone-plaque
607		Pergaminho desgastado			Tattered scroll
608		Pergaminho amassado			Crumpled scroll
609		Cadáver de Rashiliyia			Rashiliyia corpse
610		Cadáver de Zadimus			Zadimus corpse
611		Cristal localizador			Locating crystal
612		Cristal localizador			Locating crystal
613		Cristal localizador			Locating crystal
614		Cristal localizador			Locating crystal
615		Cristal localizador			Locating crystal
616		Amuleto da Morte			Beads of the dead
617		Moedas			Coins
618		Esferas de osso			Bone beads
619		Bilhete de Paramaya			Paramaya ticket
620		Bilhete de Paramaya			Paramaya ticket
621		Bilhete do navio			Ship ticket
622		Caixa do fogo			Tinderbox
623		Punho de espada			Sword pommel
624		Anotações de Bervirius			Bervirius notes
625		Cinto Ornamentado			Wampum belt
626		Botas rosas			Pink boots
628		Botas verdes			Green boots
630		Botas azuis			Blue boots
632		Botas bege			Cream boots
634		Botas turquesas			Turquoise boots
636		Túnica rosa			Pink robe top
638		Túnica verde			Green robe top
640		Túnica azul			Blue robe top
642		Túnica bege			Cream robe top
644		Túnica turquesa			Turquoise robe top
646		Saia de túnica rosa			Pink robe bottoms
648		Saia da túnica verde			Green robe bottoms
650		Saia da túnica azul			Blue robe bottoms
652		Saia da túnica bege			Cream robe bottoms
654		Saia da túnica turquesa			Turquoise robe bottoms
656		Chapéu rosa			Pink hat
658		Chapéu verde			Green hat
660		Chapéu azul			Blue hat
662		Chapéu bege			Cream hat
664		Chapéu turquesa			Turquoise hat
666		Retrato			Portrait
667		Espada de azulito			Blurite sword
668		Minério de azulito			Blurite ore
669		Vaso para amostras			Specimen jar
670		Pincel de amostras			Specimen brush
671		Caveira de animal			Animal skull
672		Taça especial			Special cup
673		Teddy			Teddy
674		Amostra fendida			Cracked sample
675		Picareta			Rock pick
676		Pazinha			Trowel
677		Bateia			Panning tray
678		Bateia			Panning tray
679		Bateia			Panning tray
680		Pepitas			Nuggets
681		Talismã antigo			Ancient talisman
682		Carta sem carimbo			Unstamped letter
683		Carta selada			Sealed letter
684		Fivela de cinto			Belt buckle
685		Bota velha			Old boot
686		Espada enferrujada			Rusty sword
687		Flecha quebrada			Broken arrow
688		Botões			Buttons
689		Cajado quebrado			Broken staff
690		Figura			Picture
691		Certificado de nível 1			Level 1 certificate
692		Certificado de nível 2			Level 2 certificate
693		Certificado de nível 3			Level 3 certificate
694		Restos de cerâmica			Ceramic remains
695		Dente velho			Old tooth
696		Carta-convite			Invitation letter
697		Armadura danificada			Damaged armour
698		Armadura quebrada			Broken armour
699		Tabuleta de pedra			Stone tablet
700		Pó químico			Chemical powder
701		Nitrato de amônio			Ammonium nitrate
702		Líquido não identificado			Unidentified liquid
703		Nitroglicerina			Nitroglycerine
704		Carvão triturado			Ground charcoal
705		Substâncias químicas misturadas			Mixed chemicals
706		Substâncias químicas misturadas			Mixed chemicals
707		Composto químico			Chemical compound
708		Raiz de arcênia			Arcenia root
709		Chave da arca			Chest key
710		Vaso			Vase
711		Livro de substâncias químicas			Book on chemicals
712		Xícara de chá			Cup of tea
713		Picture			Picture
714		Notas de Radimus			Radimus notes
715		Notas de Radimus			Radimus notes
716		Zunidor			Bull roarer
717		Nota rabiscada			Scrawled note
718		Uma nota rabiscada			A scribbled note
719		Anotação amassada			Scrumpled note
720		Esboço			Sketch
721		Tigela de ouro			Gold bowl
722		Tigela de ouro abençoada			Blessed gold bowl
723		Tigela de ouro			Golden bowl
724		Tigela de ouro			Golden bowl
725		Tigela de ouro			Golden bowl
726		Tigela de ouro			Golden bowl
727		Junco oco			Hollow reed
728		Junco oco			Hollow reed
729		Tomo do xamã			Shamans tome
730		Livro do Aprisionamento			Binding book
731		Frasco encantado			Enchanted vial
732		Água benta			Holy water
733		Vidro espatifado			Smashed glass
734		Caixa do fogo			Tinderbox
735		Sementes da árvore yommi			Yommi tree seeds
736		Sementes da árvore yommi			Yommi tree seeds
737		Mistura de serpenteira			Snakeweed mixture
738		Mistura de ardrigal			Ardrigal mixture
739		Poção da coragem			Bravery potion
740		Chapéu azul			Blue hat
741		Pedaço grande de cristal			Chunk of crystal
742		Naco de cristal			Hunk of crystal
743		Pedaço de cristal			Lump of crystal
744		Cristal de coração			Heart crystal
745		Cristal de coração			Heart crystal
746		Adaga negra			Dark dagger
747		Adaga reluzente			Glowing dagger
748		Força sagrada			Holy force
749		Totem de yommi			Yommi totem
750		Totem dourado			Gilded totem
751		Bola de gnomobol			Gnomeball
753		Defunticabas			Cadava berries
755		Mensagem			Message
756		Poção de defunticaba			Cadava potion
757		Livro O Escudo de Arrav			The Shield of Arrav book
758		Chave do QG Fênix			Phoenix hq key
759		Chave depósito de armas			Weapon store key
761		relatório de inteligência			Intel report
762		Picture			Picture
763		Escudo quebrado			Broken shield
764		Picture			Picture
765		Escudo quebrado			Broken shield
766		Picture			Picture
767		Balestra Fênix			Phoenix crossbow
769		Certificado			Certificate
770		Picture			Picture
771		Ramo de dramen			Dramen branch
772		Cajado Dramen			Dramen staff
773		Anel "perfeito"			'Perfect' ring
774		Colar "perfeito"			'Perfect' necklace
775		Manoplas de Culinária			Cooking gauntlets
776		Manoplas de fundição			Smelting gauntlets
777		Manoplas do caos			Chaos gauntlets
778		Manoplas de família			Family gauntlets
779		Parte do brasão			Crest part
780		Parte do brasão			Crest part
781		Parte do brasão			Crest part
782		Brasão de família			Family crest
783		Amostra da casca			Bark sample
784		Livro de tradução			Translation book
785		Diário de Glough			Glough's journal
786		Pergaminho de Hazelmere			Hazelmere's scroll
787		Pedido de madeira			Lumber order
788		Chave de Glough			Glough's key
789		Ramos			Twigs
790		Ramos			Twigs
791		Ramos			Twigs
792		Ramos			Twigs
793		Rocha de dacônia			Daconia rock
794		Planos de invasão			Invasion plans
795		Navio de guerra			War ship
800		Machado de arremesso de bronze			Bronze throwing axe
801		Machado de arremesso de ferro			Iron throwing axe
802		Machado de arremesso aço			Steel throwing axe
803		Machado de arremesso de mithril			Mithril throwing axe
804		Machado de arremesso de adamantio			Adamant throwing axe
805		Machado de arremesso rúnico			Rune throwing axe
806		Dardo de bronze			Bronze dart
807		Dardo de ferro			Iron dart
808		Dardo de aço			Steel dart
809		Dardo de mithril			Mithril dart
810		Dardo de adamantio			Adamant dart
811		Dardo rúnico			Rune dart
812		Dardo de bronze (v)			Bronze dart (p)
813		Dardo de ferro (v)			Iron dart (p)
814		Dardo de aço (v)			Steel dart (p)
815		Dardo de mithril (v)			Mithril dart (p)
816		Dardo de adamantio (v)			Adamant dart (p)
817		Dardo rúnico (v)			Rune dart (p)
818		Dardo envenenado (v)			Poisoned dart (p)
819		Dardo com ponta de bronze			Bronze dart tip
820		Ponta de dardo de ferro			Iron dart tip
821		Ponta de dardo de aço			Steel dart tip
822		Ponta de dardo de mithril			Mithril dart tip
823		Ponta de dardo de adamant.			Adamant dart tip
824		Ponta de dardo rúnica			Rune dart tip
825		Dardo longo de bronze			Bronze javelin
826		Dardo longo de ferro			Iron javelin
827		Dardo longo de aço			Steel javelin
828		Dardo longo de mithril			Mithril javelin
829		Dardo longo de adamantio			Adamant javelin
830		Dardo longo rúnico			Rune javelin
831		Dardo longo de bronze (v)			Bronze javelin (p)
832		Dardo longo de ferro (v)			Iron javelin (p)
833		Dardo longo de aço (v)			Steel javelin (p)
834		Dardo longo de mithril (v)			Mithril javelin (p)
835		Dardo longo de adamantio (v)			Adamant javelin (p)
836		Dardo longo rúnico (v)			Rune javelin (p)
837		Balestra			Crossbow
839		Arco-escudo			Shieldbow
841		Arco curto			Shortbow
843		Arco curto de carvalho			Oak shortbow
845		Arco-escudo de carvalho			Oak shieldbow
847		Arco-escudo de salgueiro			Willow shieldbow
849		Arco curto de salgueiro			Willow shortbow
851		Arco-escudo de bordo			Maple shieldbow
853		Arco curto de bordo			Maple shortbow
855		Arco-escudo de teixo			Yew shieldbow
857		Arco curto de teixo			Yew shortbow
859		Arco-escudo mágico			Magic shieldbow
861		Arco curto mágico			Magic shortbow
863		Faca de ferro			Iron knife
864		Faca de bronze			Bronze knife
865		Faca de aço			Steel knife
866		Faca de mithril			Mithril knife
867		Faca de adamantio			Adamant knife
868		Faca rúnica			Rune knife
869		Faca negra			Black knife
870		Faca de bronze (v)			Bronze knife (p)
871		Faca de ferro (v)			Iron knife (p)
872		Faca de aço (v)			Steel knife (p)
873		Faca de mithril (v)			Mithril knife (p)
874		Faca negra (v)			Black knife (p)
875		Faca de adamantio (v)			Adamant knife (p)
876		Faca rúnica (v)			Rune knife (p)
877		Setas de bronze			Bronze bolts
878		Setas de bronze (v)			Bronze bolts (p)
879		Setas de opala			Opal bolts
880		Setas de pérola			Pearl bolts
881		Setas farpadas			Barbed bolts
882		Flecha de bronze			Bronze arrow
883		Flecha de bronze (v)			Bronze arrow (p)
884		Flecha de ferro			Iron arrow
885		Flecha de ferro (v)			Iron arrow (p)
886		Flecha de aço			Steel arrow
887		Flecha de aço (v)			Steel arrow (p)
888		Flecha de mithril			Mithril arrow
889		Flecha de mithril (v)			Mithril arrow (p)
890		Flecha de adamantio			Adamant arrow
891		Flecha de adamantio (v)			Adamant arrow (p)
892		Flecha rúnica			Rune arrow
893		Flecha rúnica  (v)			Rune arrow (p)
942		Flechas de fogo de bronze			Bronze fire arrows
943		Verme			Worm
945		Corda de arremesso			Throwing rope
946		Faca			Knife
948		Pele de urso			Bear fur
950		Seda			Silk
952		Pá			Spade
954		Corda			Rope
956		Panfleto			Flier
957		Caixa do fogo			Tinderbox
958		Pêlo de lobo cinzento			Grey wolf fur
960		Tábua			Plank
962		Presente de Natal			Christmas cracker
964		Caveira			Skull
965		Caveira			Skull
966		Ladrilho			Tile
967		Caixa do fogo			Tinderbox
968		Rocha			Rock
969		Caixa do fogo			Tinderbox
970		Papiro			Papyrus
972		Papiro			Papyrus
973		Carvão			Charcoal
975		Facão			Machete
977		Panela			Cooking pot
981		Disco do retorno			Disk of returning
983		Chave de latão			Brass key
985		Os dentes de uma chave			Tooth half of a key
987		A base de uma chave			Loop half of a key
989		Chave de cristal			Crystal key
991		Chave enlameada			Muddy key
993		Chave sinistra			Sinister key
995		Moedas			Coins
1005		Avental branco			White apron
1007		Capa			Cape
1009		Colar de latão			Brass necklace
1011		Saia da túnica do mago			Wizard robe skirt
1013		Saia cor-de-rosa			Pink skirt
1015		Saia da túnica de mago sombrio			Black wizard robe skirt
1017		Chapéu de mago sombrio			Black wizard hat
1019		Capa			Cape
1021		Capa			Cape
1023		Capa			Cape
1025		Tapa-olho			Eye patch
1027		Capa			Cape
1029		Capa			Cape
1031		Capa			Cape
1033		Túnica de Zamorak			Zamorak robe
1035		Túnica de Zamorak			Zamorak robe
1037		Orelhas de coelho			Bunny ears
1038		Chapéu de festa vermelho			Red partyhat
1040		Chapéu de festa amarelo			Yellow partyhat
1042		Chapéu de festa azul			Blue partyhat
1044		Chapéu de festa verde			Green partyhat
1046		Chapéu de festa roxo			Purple partyhat
1048		Chapéu de festa branco			White partyhat
1050		Chapéu de Papai Noel			Santa hat
1052		Capa das lendas			Cape of legends
1053		Máscara de halloween verde			Green hallowe'en mask
1055		Máscara de halloween azul			Blue hallowe'en mask
1057		Másc. halloween vermelha			Red hallowe'en mask
1059		Luvas de couro			Leather gloves
1061		Botas de couro			Leather boots
1063		Braceleiras de couro			Leather vambraces
1065		Braceleiras de dragão verde			Green dragonhide vambraces
1067		Perneiras de placa de ferro			Iron platelegs
1069		Perneiras de placa de aço			Steel platelegs
1071		Perneiras de placa de mithril			Mithril platelegs
1073		Perneiras de placa de adamantio			Adamant platelegs
1075		Perneiras de placa de bronze			Bronze platelegs
1077		Perneiras de placa negras			Black platelegs
1079		Perneiras de placa rúnicas			Rune platelegs
1081		Escarcela de placa de ferro			Iron plateskirt
1083		Escarcela de placa de aço			Steel plateskirt
1085		Escarcela de placa de mithril			Mithril plateskirt
1087		Escarcela de placa de bronze			Bronze plateskirt
1089		Escarcela de placa negra			Black plateskirt
1091		Escarcela de placa de adamantio			Adamant plateskirt
1093		Escarcela de placa rúnica			Rune plateskirt
1095		Perneiras de couro			Leather chaps
1097		Perneiras guarnecidas			Studded chaps
1099		Perneiras de dragão verde			Green dragonhide chaps
1101		Cota de malha de ferro			Iron chainbody
1103		Cota de malha de bronze			Bronze chainbody
1105		Cota de malha de aço			Steel chainbody
1107		Cota de malha negra			Black chainbody
1109		Cota de malha de mithril			Mithril chainbody
1111		Cota de malha de adamantio			Adamant chainbody
1113		Cota de malha rúnica			Rune chainbody
1115		Cota de placa de ferro			Iron platebody
1117		Cota de placa de bronze			Bronze platebody
1119		Cota de placa de aço			Steel platebody
1121		Cota de placa de mithril			Mithril platebody
1123		Cota de placa de adamantio			Adamant platebody
1125		Cota de placa negra			Black platebody
1127		Cota de placa rúnica			Rune platebody
1129		Cota de couro			Leather body
1131		Cota de couro duro			Hard leather body
1133		Cota guarnecida			Studded body
1135		Cota de pele de dragão verde			Green dragonhide body
1137		Elmo de ferro médio			Iron med helm
1139		Elmo de bronze médio			Bronze med helm
1141		Elmo de aço médio			Steel med helm
1143		Elmo de mithril médio			Mithril med helm
1145		Elmo de adamantio médio			Adamant med helm
1147		Elmo rúnico médio			Rune med helm
1149		Elmo dragônico			Dragon helm
1151		Elmo negro			Black helm
1153		Elmo de ferro completo			Iron full helm
1155		Elmo de bronze completo			Bronze full helm
1157		Elmo de aço completo			Steel full helm
1159		Elmo de mithril completo			Mithril full helm
1161		Elmo de adamantio completo			Adamant full helm
1163		Elmo rúnico completo			Rune full helm
